Average Transmission Out Size,Average Transmission In Size,Average Transmission Time
500,549,1338
500,549,1815
500,549,1171
500,549,1399
500,549,2012
500,549,998
500,549,1018
500,549,1074
500,549,1007
500,549,1028
500,549,1143
500,549,994
500,549,1007
500,549,1007
500,549,1009
500,549,1015
500,549,1012
500,549,1124
500,549,1008
500,549,1007
500,549,1009
500,549,1006
500,549,1006
500,549,1007
500,549,1011
500,549,1079
500,549,1162
500,549,1009
500,549,1004
500,549,1035
500,549,1137
500,549,1027
500,549,1016
500,549,1124
500,549,1006
500,549,1085
500,549,999
500,549,1007
500,549,1007
500,549,1009
500,549,1006
500,549,1008
500,549,1018
500,549,1166
500,549,1006
500,549,1006
500,549,1013
500,549,1016
500,549,1008
500,549,1122
500,549,1035
500,549,1007
500,549,1180
500,549,1009
500,549,1277
500,549,1041
500,549,1014
500,549,1080
500,549,1179
500,549,1012
500,549,1010
500,549,1008
500,549,1012
500,549,1007
500,549,1007
500,549,1007
500,549,1006
500,549,1014
500,549,1009
500,549,1009
500,549,1009
500,549,1007
500,549,1018
500,549,1007
500,549,1012
500,549,1007
500,549,1008
500,549,1007
500,549,1009
500,549,1010
500,549,1009
500,549,1018
500,549,1016
500,549,1009
500,549,1015
500,549,1007
500,549,1007
500,549,1010
500,549,1010
500,549,1007
500,549,1125
500,549,1009
500,549,1010
500,549,1011
500,549,1024
500,549,1004
500,549,1007
500,549,1006
500,549,1007
500,549,1007
500,549,1027
500,549,1006
500,549,1008
500,549,1014
500,549,1016
500,549,1010
500,549,1007
500,549,1009
500,549,1013
500,549,1011
